Date,High,Low,Open,Close,Adj Close,Volume,Symbol,SMA_5,SMA_10,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,return_1d,return_5d,return_10d,return_20d,volatility_10d,volatility_20d,volatility_30d,Adj Close_norm,SMA_5_norm,SMA_10_norm,SMA_20_norm,SMA_50_norm,EMA_12_norm,EMA_26_norm,RSI_14_norm,MACD_norm,MACD_signal_norm,MACD_hist_norm,BB_upper_norm,BB_middle_norm,BB_lower_norm,return_1d_norm,return_5d_norm,return_10d_norm,return_20d_norm,volatility_10d_norm,volatility_20d_norm,volatility_30d_norm,Sector
2018-01-02,25.0,23.85,24.2,24.95,16.648,3966440.0,CTG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ngân hàng
2018-01-03,25.25,24.45,25.1,24.8,16.548,3941230.0,CTG,,,,,,,,,,,,,,-0.006012024048096087,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ngân hàng
2018-01-04,25.7,24.65,24.8,25.7,17.148,4995490.0,CTG,,,,,,,,,,,,,,0.03629032258064502,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ngân hàng
2018-01-05,25.6,25.0,25.5,25.1,16.748,3071940.0,CTG,,,,,,,,,,,,,,-0.023346303501945442,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ngân hàng
2018-01-08,25.9,24.95,25.1,25.7,17.148,5017740.0,CTG,25.25,,,,,,,,,,,,,0.0239043824701195,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ngân hàng
2018-01-09,25.85,24.0,25.8,25.7,17.148,6561230.0,CTG,25.4,,,,,,,,,,,,,0.0,0.03006012024048088,,,,,,,,,,,,,,,,,,,,,,,,,,,Ngân hàng
2018-01-10,26.2,25.2,25.6,25.5,17.015,9619750.0,CTG,25.54,,,,,,,,,,,,,-0.0077821011673151474,0.028225806451612767,,,,,,,,,,,,,,,,,,,,,,,,,,,Ngân hàng
2018-01-11,25.9,25.0,25.2,25.65,17.115,4187120.0,CTG,25.529999999999998,,,,,,,,,,,,,0.00588235294117645,-0.0019455252918287869,,,,,,,,,,,,,,,,,,,,,,,,,,,Ngân hàng
2018-01-12,26.35,25.45,25.7,25.6,17.082,5148990.0,CTG,25.630000000000003,,,,,,,,,,,,,-0.0019493177387913674,0.019920318725099584,,,,,,,,,,,,,,,,,,,,,,,,,,,Ngân hàng
2018-01-15,26.35,24.95,25.5,26.1,17.415,4812150.0,CTG,25.71,25.48,,,,,,,,,,,,0.01953125,0.015564202334630517,,,,,,,,,,,,,,,,,,,,,,,,,,,Ngân hàng
2018-01-16,26.95,26.1,26.1,26.6,17.749,7707220.0,CTG,25.889999999999997,25.645,,,,,,,,,,,,0.019157088122605304,0.035019455252918386,0.0661322645290583,,0.01790623418778135,,,,,,,,,,,,,,,,,,,,,,,,Ngân hàng
2018-01-17,26.8,25.2,26.6,25.2,16.815,5012930.0,CTG,25.830000000000002,25.685000000000002,,,25.587979223676,,,,,,,,,-0.052631578947368474,-0.01176470588235301,0.016129032258064502,,0.025851398619987895,,,,,,,,,,,,,,,,,,,,,,,,Ngân hàng
2018-01-18,25.5,24.2,25.0,25.5,17.015,4941490.0,CTG,25.8,25.665000000000003,,,25.574443958495078,,,,,,,,,0.011904761904761862,-0.005847953216374213,-0.0077821011673151474,,0.02326863003305928,,,,,,,,,,,,,,,,,,,,,,,,Ngân hàng
2018-01-19,25.75,25.05,25.5,25.3,16.882,4243980.0,CTG,25.74,25.684999999999995,,,25.532221811034297,,49.26532869707059,,,,,,,-0.007843137254901933,-0.01171875,0.007968127490039834,,0.02206509840899453,,,,,,,,,,,,,,,,,,,,,,,,Ngân hàng
2018-01-22,25.9,25.4,25.6,25.75,17.182,2806440.0,CTG,25.669999999999998,25.689999999999998,,,25.56572614779825,,55.05594046411146,,,,,,,0.01778656126482203,-0.013409961685823757,0.0019455252918287869,,0.021435859811774448,,,,,,,,,,,,,,,,,,,,,,,,Ngân hàng
2018-01-25,27.5,25.9,26.1,26.75,17.849,12632930.0,CTG,25.7,25.794999999999998,,,25.74792212506006,,64.69837090667521,,,,,,,0.03883495145631066,0.005639097744360777,0.040856031128404746,,0.024633538357732052,,,,,,,,,,,,,,,,,,,,,,,,Ngân hàng
2018-01-26,27.75,26.85,27.4,27.3,18.216,8629440.0,CTG,26.120000000000005,25.975,,,25.986703336589283,,68.67855679288293,,,,,,,0.020560747663551426,0.08333333333333348,0.07058823529411762,,0.024720712819276926,,,,,,,,,,,,,,,,,,,,,,,,Ngân hàng
2018-01-29,28.75,27.3,27.4,28.3,18.883,9535190.0,CTG,26.68,26.240000000000002,,,26.342595130960163,,74.34277829810544,,,,,,,0.03663003663003672,0.1098039215686275,0.10331384015594547,,0.026404090916827674,,,,,,,,,,,,,,,,,,,,,,,,Ngân hàng
2018-01-30,28.2,27.3,27.5,28.05,18.716,6537380.0,CTG,27.23,26.485000000000003,,,26.605272803120137,,70.8912170228303,,,,,,,-0.00883392226148405,0.10869565217391308,0.095703125,,0.0268421372512942,,,,,,,,,,,,,,,,,,,,,,,,Ngân hàng
