Symbol,Name,Sector
SSI,Công ty Cổ phần Chứng khoán SSI,Tài chính
BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Tài chính
VHM,Công ty Cổ phần Vinhomes,Tài chính
VIC,Tập đoàn Vingroup - Công ty CP,Tài chính
VRE,Công ty Cổ phần Vincom Retail,Tài chính
BVH,Tập đoàn Bảo Việt,Tài chính
POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,Tiện ích Cộng đồng
GAS,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Tiện ích Cộng đồng
ACB,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng
HDB,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,Ngân hàng
MBB,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng
SSB,Ngân hàng Thương mại Cổ phần Đông Nam Á,Ngân hàng
SHB,Ngân hàng Thương mại Cổ phần Sài Gòn – Hà Nội,Ngân hàng
STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,Ngân hàng
TCB,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam,Ngân hàng
TPB,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng
VCB,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Ngân hàng
VIB,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,Ngân hàng
VPB,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,Ngân hàng
HPG,Công ty Cổ phần Tập đoàn Hòa Phát,Nguyên vật liệu
GVR,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty Cổ phần,Nguyên vật liệu
MSN,Công ty Cổ phần Tập đoàn Masan,Hàng Tiêu dùng
VNM,Công ty Cổ phần Sữa Việt Nam,Hàng Tiêu dùng
SAB,Tổng Công ty Cổ phần Bia - Rượu - Nước Giải khát Sài Gòn,Hàng Tiêu dùng
VJC,Công ty Cổ phần Hàng không Vietjet,Dịch vụ Tiêu dùng
MWG,Công ty Cổ phần Đầu tư Thế Giới Di Động,Dịch vụ Tiêu dùng
PLX,Tập đoàn Xăng dầu Việt Nam,Dầu khí 
FPT,Công ty Cổ phần FPT,Công nghệ Thông tin
MFS,Công ty Cổ phần Dịch vụ kỹ thuật Mobifone,Viễn thông
ABC,Công ty Cổ phần Truyền thông VMG,Viễn thông
VGI,Tổng Công ty Cổ phần Đầu tư Quốc tế Viettel,Viễn thông
FOX,Công ty Cổ phần Viễn thông FPT,Viễn thông
PAI,"Công ty Cổ phần Công nghê thông tin, Viễn thông và Tự động hóa Dầu khí",Viễn thông
