2025-09-21 13:03:11 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for DMS: 96 days (minimum: 252)
2025-09-21 13:03:12 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for DNN: 0 days (minimum: 252)
2025-09-21 13:03:12 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for DTV: 210 days (minimum: 252)
2025-09-21 13:03:12 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for DWC: 91 days (minimum: 252)
2025-09-21 13:03:12 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for FRM: 234 days (minimum: 252)
2025-09-21 13:03:12 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for GCB: 240 days (minimum: 252)
2025-09-21 13:03:12 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for GLC: 5 days (minimum: 252)
2025-09-21 13:03:12 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for GLW: 82 days (minimum: 252)
2025-09-21 13:03:12 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for HGW: 201 days (minimum: 252)
2025-09-21 13:03:12 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for HMG: 123 days (minimum: 252)
2025-09-21 13:03:13 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for HRB: 126 days (minimum: 252)
2025-09-21 13:03:13 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for KAC: 166 days (minimum: 252)
2025-09-21 13:03:13 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for KHW: 49 days (minimum: 252)
2025-09-21 13:03:13 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for KLM: 42 days (minimum: 252)
2025-09-21 13:03:13 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for LAW: 66 days (minimum: 252)
2025-09-21 13:03:13 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for LDW: 1 days (minimum: 252)
2025-09-21 13:03:13 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for MGR: 236 days (minimum: 252)
2025-09-21 13:03:13 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for NDW: 3 days (minimum: 252)
2025-09-21 13:03:14 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for NLS: 91 days (minimum: 252)
2025-09-21 13:03:14 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for NQB: 21 days (minimum: 252)
2025-09-21 13:03:14 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for NQT: 9 days (minimum: 252)
2025-09-21 13:03:14 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for NSL: 221 days (minimum: 252)
2025-09-21 13:03:14 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for NVP: 3 days (minimum: 252)
2025-09-21 13:03:14 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for PAI: 27 days (minimum: 252)
2025-09-21 13:03:14 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for PBK: 33 days (minimum: 252)
2025-09-21 13:03:14 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for PIS: 247 days (minimum: 252)
2025-09-21 13:03:14 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for PMW: 204 days (minimum: 252)
2025-09-21 13:03:14 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for PTH: 163 days (minimum: 252)
2025-09-21 13:03:14 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for PTN: 165 days (minimum: 252)
2025-09-21 13:03:15 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for PXC: 1 days (minimum: 252)
2025-09-21 13:03:15 | src.data.data_processor | WARNING  | data_processor.py:282 | Insufficient data for QNW: 26 days (minimum: 252)
